mean_test_score,std_test_score,params
0.7880720526626654,0.004701661005660301,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}"
0.8022924131889947,0.005066711246518173,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}"
0.8061586912781035,0.005891400551665471,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}"
0.8123706147084268,0.0003069905362555901,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}"
0.8206547040126523,0.0015165606090579756,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}"
0.8263151514943597,0.002244938487595432,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}"
0.8202401107411733,0.001488553048438708,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}"
0.8297669506667741,0.001440916301373799,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}"
0.8344614432831716,0.0030363650549214017,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300}"
0.8283872601908696,0.0063135911513813245,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
0.8374997927319529,0.007806660123513507,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}"
0.8391562789639228,0.006423457108112641,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}"
0.8398465816210133,0.006779363849902392,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}"
0.8444031623672127,0.009473105843912425,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
0.8416409797231813,0.005558792254104011,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}"
0.8415025532564527,0.0067660114300962335,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}"
0.8427452467004356,0.010500724449805253,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}"
0.8410884745815044,0.009199857766728547,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300}"
0.8361190730629872,0.007417486492857006,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}"
0.8383278929044571,0.0070839344560584,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}"
0.8426075635398066,0.005561714499020927,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 300}"
0.8405366555685347,0.006089895311013185,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}"
0.8399844363138192,0.007106029299004596,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}"
0.8412265579838795,0.0074777159674034345,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300}"
0.8428836159897721,0.0097734338706929,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 100}"
0.8403983434565907,0.004996881890273096,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 200}"
0.8388802265139573,0.008942982350390826,"{'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 300}"
